year	temperature
1880	-0.22
1881	-0.13
1882	-0.16
1883	-0.19
1884	-0.27
1885	-0.25
1886	-0.24
1887	-0.31
1888	-0.19
1889	-0.10
1890	-0.33
1891	-0.27
1892	-0.31
1893	-0.36
1894	-0.32
1895	-0.25
1896	-0.18
1897	-0.18
1898	-0.31
1899	-0.20
1900	-0.14
1901	-0.21
1902	-0.30
1903	-0.36
1904	-0.44
1905	-0.29
1906	-0.26
1907	-0.42
1908	-0.43
1909	-0.46
1910	-0.45
1911	-0.44
1912	-0.41
1913	-0.39
1914	-0.23
1915	-0.16
1916	-0.36
1917	-0.44
1918	-0.31
1919	-0.29
1920	-0.27
1921	-0.21
1922	-0.29
1923	-0.26
1924	-0.24
1925	-0.22
1926	-0.09
1927	-0.18
1928	-0.16
1929	-0.31
1930	-0.11
1931	-0.07
1932	-0.10
1933	-0.25
1934	-0.09
1935	-0.15
1936	-0.10
1937	0.03
1938	0.06
1939	0.01
1940	0.06
1941	0.08
1942	0.05
1943	0.06
1944	0.14
1945	0.01
1946	-0.08
1947	-0.04
1948	-0.10
1949	-0.11
1950	-0.19
1951	-0.06
1952	0.02
1953	0.09
1954	-0.11
1955	-0.12
1956	-0.18
1957	0.04
1958	0.04
1959	0.03
1960	-0.04
1961	0.05
1962	0.04
1963	0.07
1964	-0.20
1965	-0.10
1966	-0.04
1967	-0.01
1968	-0.05
1969	0.06
1970	0.04
1971	-0.07
1972	0.02
1973	0.16
1974	-0.07
1975	-0.01
1976	-0.12
1977	0.15
1978	0.06
1979	0.12
1980	0.23
1981	0.28
1982	0.09
1983	0.27
1984	0.12
1985	0.08
1986	0.15
1987	0.29
1988	0.35
1989	0.24
1990	0.39
1991	0.38
1992	0.19
1993	0.21
1994	0.28
1995	0.43
1996	0.33
1997	0.45
1998	0.61
1999	0.40
2000	0.40
2001	0.53
2002	0.61
2003	0.60
2004	0.51
2005	0.65
2006	0.59
2007	0.63
2008	0.49
2009	0.59
2010	0.66
2011	0.55
2012	0.58